,result,table,_start,_stop,_time,_value,_field,_measurement,eth_block,host,pol_block
,,0,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:30:00Z,8937,delta,delta_block_time,14458082,xmev-capture,14458081
,,1,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:30:00Z,26,delta,delta_block_time,14458079,xmev-capture,14458079
,,2,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:20:00Z,7998,delta,delta_block_time,14460711,xmev-capture,14460710
,,3,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:30:00Z,142,delta,delta_block_time,14458070,xmev-capture,14458070
,,4,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:20:00Z,3945,delta,delta_block_time,14458046,xmev-capture,14458045
,,5,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:10:00Z,3,delta,delta_block_time,14460689,xmev-capture,14460689
,,6,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:10:00Z,0,delta,delta_block_time,14461186,xmev-capture,14461187
,,7,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:40:00Z,15993,delta,delta_block_time,14462130,xmev-capture,14462129
,,8,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:40:00Z,52,delta,delta_block_time,14458099,xmev-capture,14458100
,,9,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:40:00Z,1,delta,delta_block_time,14461336,xmev-capture,14461336
,,10,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:20:00Z,3988,delta,delta_block_time,14460982,xmev-capture,14460981
,,11,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:30:00Z,12,delta,delta_block_time,14458094,xmev-capture,14458094
,,12,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:20:00Z,7880,delta,delta_block_time,14458031,xmev-capture,14458030
,,13,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:30:00Z,22,delta,delta_block_time,14458085,xmev-capture,14458085
,,14,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:20:00Z,12010,delta,delta_block_time,14460728,xmev-capture,14460727
,,15,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:40:00Z,3998,delta,delta_block_time,14461054,xmev-capture,14461053
,,16,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:00:00Z,0,delta,delta_block_time,14460888,xmev-capture,14460889
,,17,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:00:00Z,1,delta,delta_block_time,14460634,xmev-capture,14460634
,,18,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:40:00Z,4,delta,delta_block_time,14461313,xmev-capture,14461314
,,19,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:20:00Z,1,delta,delta_block_time,14460709,xmev-capture,14460709
,,20,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:30:00Z,29,delta,delta_block_time,14458062,xmev-capture,14458062
,,21,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:40:00Z,2,delta,delta_block_time,14461308,xmev-capture,14461308
,,22,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:20:00Z,7999,delta,delta_block_time,14458041,xmev-capture,14458040
,,23,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:00:00Z,12008,delta,delta_block_time,14460620,xmev-capture,14460619
,,24,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:30:00Z,4021,delta,delta_block_time,14458095,xmev-capture,14458094
,,25,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:00:00Z,11951,delta,delta_block_time,14460917,xmev-capture,14460916
