,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,0,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:44:00Z,-27,delta,delta_block_time,xmev-capture,1648453417807
,,1,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:20:00Z,11,delta,delta_block_time,xmev-capture,1648459161978
,,2,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:25:00Z,22,delta,delta_block_time,xmev-capture,1648459450192
,,3,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:17:00Z,-20,delta,delta_block_time,xmev-capture,1648462596374
,,4,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:17:00Z,11,delta,delta_block_time,xmev-capture,1648462568371
,,5,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:54:00Z,-28,delta,delta_block_time,xmev-capture,1648454002242
,,6,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:12:00Z,-36,delta,delta_block_time,xmev-capture,1648462276147
,,7,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:01:00Z,-14,delta,delta_block_time,xmev-capture,1648454442544
,,8,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:04:00Z,-18,delta,delta_block_time,xmev-capture,1648454602677
,,9,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:32:00Z,11,delta,delta_block_time,xmev-capture,1648459874479
,,10,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:23:00Z,-101,delta,delta_block_time,xmev-capture,1648459322129
,,11,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:45:00Z,-19,delta,delta_block_time,xmev-capture,1648457096487
,,12,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:02:00Z,-13,delta,delta_block_time,xmev-capture,1648461687747
,,13,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:41:00Z,-16,delta,delta_block_time,xmev-capture,1648453245687
,,14,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:30:00Z,-31,delta,delta_block_time,xmev-capture,1648456167809
,,15,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:22:00Z,-31,delta,delta_block_time,xmev-capture,1648455667430
,,16,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:44:00Z,-18,delta,delta_block_time,xmev-capture,1648456984385
,,17,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:53:00Z,-29,delta,delta_block_time,xmev-capture,1648457524791
,,18,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:50:00Z,-19,delta,delta_block_time,xmev-capture,1648453762070
,,19,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:58:00Z,-38,delta,delta_block_time,xmev-capture,1648454226391
,,20,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:36:00Z,-13,delta,delta_block_time,xmev-capture,1648452921450
,,21,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:55:00Z,-16,delta,delta_block_time,xmev-capture,1648454098306
,,22,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:38:00Z,-11,delta,delta_block_time,xmev-capture,1648460278741
,,23,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:01:00Z,9,delta,delta_block_time,xmev-capture,1648454410553
,,24,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:47:00Z,-16,delta,delta_block_time,xmev-capture,1648457168509
,,25,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:14:00Z,-26,delta,delta_block_time,xmev-capture,1648458829722
,,26,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:32:00Z,-12,delta,delta_block_time,xmev-capture,1648452717301
,,27,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:13:00Z,-19,delta,delta_block_time,xmev-capture,1648455143063
,,28,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:19:00Z,-55,delta,delta_block_time,xmev-capture,1648462728461
