,result,table,_start,_stop,_time,_value,_field,_measurement,eth_block,host,pol_block
,,45,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,0,delta,delta_blocks,14458077,xmev-capture,14458076
,,46,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:00:00Z,0,delta,delta_blocks,14460910,xmev-capture,14460910
,,47,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:00:00Z,1,delta,delta_blocks,14460881,xmev-capture,14460880
,,48,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:00:00Z,1,delta,delta_blocks,14460905,xmev-capture,14460904
,,49,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:50:00Z,0,delta,delta_blocks,14461391,xmev-capture,14461390
,,50,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,0,delta,delta_blocks,14458095,xmev-capture,14458094
,,51,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T07:40:00Z,0,delta,delta_blocks,14460544,xmev-capture,14460543
,,52,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:10:00Z,1,delta,delta_blocks,14461203,xmev-capture,14461202
,,53,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,0,delta,delta_blocks,14458071,xmev-capture,14458070
,,54,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:40:00Z,1,delta,delta_blocks,14461346,xmev-capture,14461345
,,55,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:00:00Z,1,delta,delta_blocks,14460620,xmev-capture,14460619
,,56,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:10:00Z,0,delta,delta_blocks,14461977,xmev-capture,14461976
,,57,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:30:00Z,2,delta,delta_blocks,14461015,xmev-capture,14461015
,,58,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:40:00Z,2,delta,delta_blocks,14460785,xmev-capture,14460785
,,59,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:40:00Z,1,delta,delta_blocks,14458102,xmev-capture,14458102
,,60,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T07:50:00Z,0,delta,delta_blocks,14460598,xmev-capture,14460596
,,61,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,0,delta,delta_blocks,14458060,xmev-capture,14458058
,,62,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T07:50:00Z,0,delta,delta_blocks,14460572,xmev-capture,14460571
,,63,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:00:00Z,1,delta,delta_blocks,14460618,xmev-capture,14460617
,,64,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:40:00Z,1,delta,delta_blocks,14461063,xmev-capture,14461063
,,65,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:30:00Z,0,delta,delta_blocks,14460766,xmev-capture,14460765
,,66,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:00:00Z,0,delta,delta_blocks,14460652,xmev-capture,14460651
,,67,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:40:00Z,0,delta,delta_blocks,14460776,xmev-capture,14460776
,,68,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:00:00Z,2,delta,delta_blocks,14460908,xmev-capture,14460908
,,69,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:40:00Z,2,delta,delta_blocks,14458098,xmev-capture,14458098
,,70,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:30:00Z,1,delta,delta_blocks,14462076,xmev-capture,14462075
,,71,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:40:00Z,0,delta,delta_blocks,14461314,xmev-capture,14461314
,,72,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:10:00Z,1,delta,delta_blocks,14461703,xmev-capture,14461702
,,73,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:00:00Z,2,delta,delta_blocks,14460639,xmev-capture,14460639
,,74,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:30:00Z,1,delta,delta_blocks,14460754,xmev-capture,14460753
,,75,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:30:00Z,2,delta,delta_blocks,14461807,xmev-capture,14461807
,,76,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:20:00Z,2,delta,delta_blocks,14460724,xmev-capture,14460724
,,77,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,1,delta,delta_blocks,14458054,xmev-capture,14458053
,,78,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T11:00:00Z,1,delta,delta_blocks,14461438,xmev-capture,14461438
,,79,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:30:00Z,1,delta,delta_blocks,14461021,xmev-capture,14461020
,,80,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T11:40:00Z,0,delta,delta_blocks,14461595,xmev-capture,14461594
,,81,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:40:00Z,0,delta,delta_blocks,14460804,xmev-capture,14460802
,,82,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:30:00Z,0,delta,delta_blocks,14462361,xmev-capture,14462360
,,83,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,2,delta,delta_blocks,14458074,xmev-capture,14458074
,,84,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:10:00Z,1,delta,delta_blocks,14460664,xmev-capture,14460663
,,85,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:00:00Z,2,delta,delta_blocks,14462479,xmev-capture,14462479
,,86,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T07:50:00Z,1,delta,delta_blocks,14460585,xmev-capture,14460584
,,87,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:10:00Z,1,delta,delta_blocks,14462245,xmev-capture,14462244
,,88,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,1,delta,delta_blocks,14458078,xmev-capture,14458077
,,89,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:40:00Z,2,delta,delta_blocks,14461870,xmev-capture,14461870
,,90,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:20:00Z,0,delta,delta_blocks,14461759,xmev-capture,14461758
,,91,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:10:00Z,2,delta,delta_blocks,14460685,xmev-capture,14460684
,,92,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:10:00Z,1,delta,delta_blocks,14461175,xmev-capture,14461174
,,93,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,0,delta,delta_blocks,14458090,xmev-capture,14458088
,,94,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:00:00Z,2,delta,delta_blocks,14461141,xmev-capture,14461141
,,95,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:00:00Z,1,delta,delta_blocks,14460871,xmev-capture,14460870
,,96,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:40:00Z,2,delta,delta_blocks,14461048,xmev-capture,14461048
,,97,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:20:00Z,1,delta,delta_blocks,14461226,xmev-capture,14461225
,,98,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:00:00Z,0,delta,delta_blocks,14460912,xmev-capture,14460910
,,99,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:40:00Z,0,delta,delta_blocks,14461053,xmev-capture,14461053
,,100,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:00:00Z,1,delta,delta_blocks,14460863,xmev-capture,14460862
,,101,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:50:00Z,1,delta,delta_blocks,14460856,xmev-capture,14460855
,,102,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:40:00Z,1,delta,delta_blocks,14458104,xmev-capture,14458103
,,103,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T07:40:00Z,0,delta,delta_blocks,14460565,xmev-capture,14460564
,,104,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:40:00Z,2,delta,delta_blocks,14461339,xmev-capture,14461339
,,105,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T11:50:00Z,1,delta,delta_blocks,14461635,xmev-capture,14461634
,,106,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:20:00Z,2,delta,delta_blocks,14461790,xmev-capture,14461790
