,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,0,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:04:30Z,6,delta,delta_blocks,xmev-capture,1648454662718
,,1,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:16:40Z,4,delta,delta_blocks,xmev-capture,1648455395243
,,2,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:29:30Z,8,delta,delta_blocks,xmev-capture,1648456167809
,,3,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:48:20Z,7,delta,delta_blocks,xmev-capture,1648453690034
,,4,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:55:20Z,9,delta,delta_blocks,xmev-capture,1648454118307
,,5,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:16:40Z,2,delta,delta_blocks,xmev-capture,1648455399233
,,6,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:02:20Z,14,delta,delta_blocks,xmev-capture,1648454530627
,,7,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:22:20Z,6,delta,delta_blocks,xmev-capture,1648455731546
,,8,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:24:00Z,10,delta,delta_blocks,xmev-capture,1648455839592
,,9,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:09:30Z,2,delta,delta_blocks,xmev-capture,1648454966930
,,10,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:08:20Z,1,delta,delta_blocks,xmev-capture,1648454898863
,,11,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:00:50Z,1,delta,delta_blocks,xmev-capture,1648454442544
,,12,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:57:40Z,14,delta,delta_blocks,xmev-capture,1648454254425
,,13,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:40:30Z,0,delta,delta_blocks,xmev-capture,1648456824282
,,14,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:26:00Z,11,delta,delta_blocks,xmev-capture,1648455955654
,,15,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:08:20Z,0,delta,delta_blocks,xmev-capture,1648454894869
,,16,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:18:20Z,10,delta,delta_blocks,xmev-capture,1648455495370
,,17,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:22:50Z,10,delta,delta_blocks,xmev-capture,1648455767518
,,18,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:33:30Z,8,delta,delta_blocks,xmev-capture,1648456403976
,,19,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:21:20Z,7,delta,delta_blocks,xmev-capture,1648455679447
,,20,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:19:00Z,7,delta,delta_blocks,xmev-capture,1648455531336
,,21,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:07:00Z,1,delta,delta_blocks,xmev-capture,1648454818797
,,22,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:13:50Z,0,delta,delta_blocks,xmev-capture,1648455227121
,,23,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:46:40Z,5,delta,delta_blocks,xmev-capture,1648453597929
,,24,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:41:10Z,9,delta,delta_blocks,xmev-capture,1648456860288
,,25,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:21:10Z,3,delta,delta_blocks,xmev-capture,1648455667430
,,26,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:55:40Z,4,delta,delta_blocks,xmev-capture,1648454130317
,,27,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:58:10Z,9,delta,delta_blocks,xmev-capture,1648454282504
,,28,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:18:40Z,0,delta,delta_blocks,xmev-capture,1648455519353
,,29,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:52:00Z,8,delta,delta_blocks,xmev-capture,1648453914166
,,30,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:54:30Z,12,delta,delta_blocks,xmev-capture,1648454066279
,,31,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:44:30Z,4,delta,delta_blocks,xmev-capture,1648453465840
,,32,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:44:50Z,1,delta,delta_blocks,xmev-capture,1648453481850
,,33,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:12:30Z,0,delta,delta_blocks,xmev-capture,1648455143063
,,34,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:33:00Z,3,delta,delta_blocks,xmev-capture,1648456375960
,,35,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:00:00Z,18,delta,delta_blocks,xmev-capture,1648454398510
,,36,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:50:10Z,3,delta,delta_blocks,xmev-capture,1648453802090
,,37,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:59:10Z,4,delta,delta_blocks,xmev-capture,1648454346507
,,38,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:30:40Z,9,delta,delta_blocks,xmev-capture,1648456235859
,,39,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:22:30Z,3,delta,delta_blocks,xmev-capture,1648455747493
,,40,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:51:00Z,8,delta,delta_blocks,xmev-capture,1648453850131
,,41,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:13:40Z,14,delta,delta_blocks,xmev-capture,1648455211124
,,42,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:07:20Z,10,delta,delta_blocks,xmev-capture,1648454838861
,,43,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:04:10Z,8,delta,delta_blocks,xmev-capture,1648454646702
,,44,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:56:50Z,2,delta,delta_blocks,xmev-capture,1648454206405
,,45,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:29:20Z,30,delta,delta_blocks,xmev-capture,1648456151817
,,46,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:34:40Z,4,delta,delta_blocks,xmev-capture,1648456472027
,,47,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:57:00Z,2,delta,delta_blocks,xmev-capture,1648454210391
,,48,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:51:20Z,2,delta,delta_blocks,xmev-capture,1648453874142
,,49,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:09:20Z,9,delta,delta_blocks,xmev-capture,1648454950974
,,50,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:54:00Z,17,delta,delta_blocks,xmev-capture,1648454038287
,,51,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:00:40Z,3,delta,delta_blocks,xmev-capture,1648454438550
,,52,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:37:20Z,18,delta,delta_blocks,xmev-capture,1648456632154
,,53,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:53:00Z,5,delta,delta_blocks,xmev-capture,1648453978222
,,54,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:53:00Z,0,delta,delta_blocks,xmev-capture,1648453970215
,,55,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:50:00Z,3,delta,delta_blocks,xmev-capture,1648453790113
,,56,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:21:30Z,2,delta,delta_blocks,xmev-capture,1648455683454
,,57,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:20:20Z,4,delta,delta_blocks,xmev-capture,1648455619396
,,58,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:01:20Z,0,delta,delta_blocks,xmev-capture,1648454478594
,,59,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:35:20Z,19,delta,delta_blocks,xmev-capture,1648456516086
,,60,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:30:00Z,7,delta,delta_blocks,xmev-capture,1648456195817
,,61,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:03:40Z,6,delta,delta_blocks,xmev-capture,1648454614660
,,62,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:50:10Z,1,delta,delta_blocks,xmev-capture,1648453806118
,,63,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:28:00Z,3,delta,delta_blocks,xmev-capture,1648456075752
,,64,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:48:40Z,4,delta,delta_blocks,xmev-capture,1648453714027
,,65,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:30:10Z,4,delta,delta_blocks,xmev-capture,1648456203854
,,66,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:45:00Z,5,delta,delta_blocks,xmev-capture,1648453493860
,,67,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:35:50Z,13,delta,delta_blocks,xmev-capture,1648456544074
,,68,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:49:40Z,2,delta,delta_blocks,xmev-capture,1648453778070
