_start;_stop;_time;_value;_field;_measurement;eth_block;host;pol_block
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:36:00Z;1;delta;delta_blocks;14461063;xmev-capture;14461063
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:42:00Z;1;delta;delta_blocks;14460569;xmev-capture;14460568
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:06:00Z;1;delta;delta_blocks;14460664;xmev-capture;14460663
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:32:00Z;0;delta;delta_blocks;14461053;xmev-capture;14461053
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:32:00Z;0;delta;delta_blocks;14460776;xmev-capture;14460776
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:32:00Z;2;delta;delta_blocks;14460543;xmev-capture;14460543
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:44:00Z;1;delta;delta_blocks;14460585;xmev-capture;14460584
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:50:00Z;2;delta;delta_blocks;14460854;xmev-capture;14460854
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:52:00Z;1;delta;delta_blocks;14460868;xmev-capture;14460867
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:36:00Z;0;delta;delta_blocks;14461331;xmev-capture;14461330
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:58:00Z;2;delta;delta_blocks;14460642;xmev-capture;14460642
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:54:00Z;1;delta;delta_blocks;14460881;xmev-capture;14460880
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:46:00Z;1;delta;delta_blocks;14460845;xmev-capture;14460844
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:58:00Z;0;delta;delta_blocks;14460648;xmev-capture;14460646
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:42:00Z;1;delta;delta_blocks;14460819;xmev-capture;14460818
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:56:00Z;1;delta;delta_blocks;14460636;xmev-capture;14460636
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:00:00Z;0;delta;delta_blocks;14460652;xmev-capture;14460651
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:52:00Z;0;delta;delta_blocks;14461407;xmev-capture;14461405
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:06:00Z;1;delta;delta_blocks;14461191;xmev-capture;14461190
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:44:00Z;0;delta;delta_blocks;14460835;xmev-capture;14460834
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:26:00Z;1;delta;delta_blocks;14460754;xmev-capture;14460753
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:16:00Z;0;delta;delta_blocks;14461503;xmev-capture;14461502
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:34:00Z;0;delta;delta_blocks;14460544;xmev-capture;14460543
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:58:00Z;2;delta;delta_blocks;14460639;xmev-capture;14460639
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:04:00Z;0;delta;delta_blocks;14460928;xmev-capture;14460927
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:00:00Z;0;delta;delta_blocks;14460912;xmev-capture;14460910
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:26:00Z;2;delta;delta_blocks;14461015;xmev-capture;14461015
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:40:00Z;0;delta;delta_blocks;14460565;xmev-capture;14460564
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:30:00Z;1;delta;delta_blocks;14461039;xmev-capture;14461039
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:16:00Z;0;delta;delta_blocks;14460716;xmev-capture;14460716
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:12:00Z;2;delta;delta_blocks;14461221;xmev-capture;14461221
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:22:00Z;1;delta;delta_blocks;14461537;xmev-capture;14461537
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:08:00Z;2;delta;delta_blocks;14461193;xmev-capture;14461193
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:38:00Z;0;delta;delta_blocks;14460804;xmev-capture;14460802
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T13:02:00Z;0;delta;delta_blocks;14461977;xmev-capture;14461976
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:08:00Z;3;delta;delta_blocks;14461200;xmev-capture;14461200
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:42:00Z;0;delta;delta_blocks;14460572;xmev-capture;14460571
