,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,0,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:42:00Z,2,lag,polygon_lag,xmev-capture,1648453301771
,,1,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:07:00Z,7,lag,polygon_lag,xmev-capture,1648454794814
,,2,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:32:00Z,6,lag,polygon_lag,xmev-capture,1648452661283
,,3,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:54:00Z,7,lag,polygon_lag,xmev-capture,1648457624864
,,4,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:29:00Z,3,lag,polygon_lag,xmev-capture,1648456107808
,,5,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:51:00Z,3,lag,polygon_lag,xmev-capture,1648453826139
,,6,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:32:00Z,4,lag,polygon_lag,xmev-capture,1648452717313
,,7,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:00:00Z,8,lag,polygon_lag,xmev-capture,1648454390526
,,8,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:23:00Z,8,lag,polygon_lag,xmev-capture,1648459346134
,,9,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:36:00Z,24,lag,ethereum_lag,xmev-capture,1648452901475
,,10,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:46:00Z,2,lag,polygon_lag,xmev-capture,1648453513891
,,11,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:45:00Z,6,lag,polygon_lag,xmev-capture,1648453473879
,,12,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:33:00Z,35,lag,ethereum_lag,xmev-capture,1648456371957
,,13,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:22:00Z,9,lag,polygon_lag,xmev-capture,1648455675464
,,14,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:36:00Z,5,lag,polygon_lag,xmev-capture,1648452929495
,,15,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:43:00Z,3,lag,polygon_lag,xmev-capture,1648453357787
,,16,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:35:00Z,17,lag,ethereum_lag,xmev-capture,1648452865418
,,17,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:44:00Z,5,lag,polygon_lag,xmev-capture,1648456984403
,,18,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:26:00Z,21,lag,ethereum_lag,xmev-capture,1648455931642
,,19,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:03:00Z,6,lag,polygon_lag,xmev-capture,1648458137254
,,20,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:55:00Z,7,lag,polygon_lag,xmev-capture,1648454042289
,,21,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:58:00Z,9,lag,polygon_lag,xmev-capture,1648454246439
,,22,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:35:00Z,6,lag,polygon_lag,xmev-capture,1648452881449
,,23,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:55:00Z,8,lag,polygon_lag,xmev-capture,1648454046300
,,24,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:43:00Z,2,lag,polygon_lag,xmev-capture,1648453325758
,,25,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:35:00Z,4,lag,polygon_lag,xmev-capture,1648452873452
,,26,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:41:00Z,47,lag,ethereum_lag,xmev-capture,1648453209679
,,27,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:38:00Z,23,lag,ethereum_lag,xmev-capture,1648453053568
,,28,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:14:00Z,5,lag,polygon_lag,xmev-capture,1648455203125
,,29,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:12:00Z,7,lag,polygon_lag,xmev-capture,1648455063023
,,30,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:52:00Z,3,lag,polygon_lag,xmev-capture,1648453866150
,,31,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:44:00Z,38,lag,ethereum_lag,xmev-capture,1648453393790
,,32,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:34:00Z,6,lag,polygon_lag,xmev-capture,1648452801373
,,33,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:39:00Z,5,lag,polygon_lag,xmev-capture,1648453081666
,,34,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:57:00Z,7,lag,ethereum_lag,xmev-capture,1648454206405
,,35,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:27:00Z,5,lag,polygon_lag,xmev-capture,1648455987700
,,36,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:46:00Z,4,lag,polygon_lag,xmev-capture,1648453529908
,,37,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:06:00Z,9,lag,polygon_lag,xmev-capture,1648458321391
,,38,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:50:00Z,4,lag,polygon_lag,xmev-capture,1648457396704
,,39,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:39:00Z,8,lag,polygon_lag,xmev-capture,1648456724220
,,40,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:59:00Z,7,lag,polygon_lag,xmev-capture,1648454334502
,,41,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:33:00Z,5,lag,polygon_lag,xmev-capture,1648452737347
,,42,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:36:00Z,5,lag,polygon_lag,xmev-capture,1648452913471
,,43,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:49:00Z,3,lag,polygon_lag,xmev-capture,1648453682015
,,44,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:04:00Z,6,lag,ethereum_lag,xmev-capture,1648454602677
,,45,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:59:00Z,4,lag,polygon_lag,xmev-capture,1648454310478
,,46,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:01:00Z,54,lag,ethereum_lag,xmev-capture,1648458005131
,,47,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:32:00Z,9,lag,polygon_lag,xmev-capture,1648452689320
,,48,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:31:00Z,12,lag,ethereum_lag,xmev-capture,1648452645248
,,49,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:41:00Z,2,lag,polygon_lag,xmev-capture,1648453237694
,,50,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:59:00Z,6,lag,polygon_lag,xmev-capture,1648454282487
,,51,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:52:00Z,3,lag,polygon_lag,xmev-capture,1648453910170
,,52,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:38:00Z,5,lag,polygon_lag,xmev-capture,1648453057569
,,53,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:44:00Z,12,lag,ethereum_lag,xmev-capture,1648453425813
,,54,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:52:00Z,8,lag,polygon_lag,xmev-capture,1648457516789
,,55,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:40:00Z,2,lag,polygon_lag,xmev-capture,1648453193661
,,56,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:21:00Z,25,lag,ethereum_lag,xmev-capture,1648455607419
,,57,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:24:00Z,8,lag,polygon_lag,xmev-capture,1648455819580
,,58,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:54:00Z,8,lag,polygon_lag,xmev-capture,1648453990256
,,59,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:41:00Z,2,lag,polygon_lag,xmev-capture,1648453241696
,,60,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:26:00Z,8,lag,polygon_lag,xmev-capture,1648455907628
,,61,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:56:00Z,8,lag,polygon_lag,xmev-capture,1648454114360
,,62,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:17:00Z,5,lag,polygon_lag,xmev-capture,1648455367325
,,63,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:42:00Z,2,lag,polygon_lag,xmev-capture,1648453265710
,,64,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:51:00Z,3,lag,polygon_lag,xmev-capture,1648453846165
,,65,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:24:00Z,8,lag,polygon_lag,xmev-capture,1648455835604
,,66,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:13:00Z,8,lag,polygon_lag,xmev-capture,1648458745673
,,67,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:59:00Z,7,lag,polygon_lag,xmev-capture,1648457881076
,,68,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:01:00Z,7,lag,polygon_lag,xmev-capture,1648458021172
,,69,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:08:00Z,6,lag,polygon_lag,xmev-capture,1648454834836
,,70,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:00:00Z,8,lag,polygon_lag,xmev-capture,1648454362506
,,71,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:39:00Z,5,lag,polygon_lag,xmev-capture,1648453089599
,,72,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:34:00Z,5,lag,ethereum_lag,xmev-capture,1648456412004
,,73,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:33:00Z,4,lag,polygon_lag,xmev-capture,1648456371969
